city,lat,lng,state
Hājīpur (Bihār),25.6925,85.2084,Bihār
Hābra (West Bengal),22.83,88.63,West Bengal
Bāra Bankī (Uttar Pradesh),26.92,81.2,Uttar Pradesh
Bīr (Mahārāshtra),18.99,75.76,Mahārāshtra
Nārnaul (Haryāna),28.0444,76.1056,Haryāna
Chitaldrug (Karnātaka),14.23,76.4,Karnātaka
Etah (Uttar Pradesh),27.63,78.67,Uttar Pradesh
Abohar (Punjab),30.1334,74.2001,Punjab
Kaithal (Haryāna),29.8015,76.3998,Haryāna
Balasore (Odisha),21.5033,86.925,Odisha
Koiridih (Jhārkhand),24.18,86.3,Jhārkhand
Shillong (Meghālaya),25.5822,91.8944,Meghālaya
Rewāri (Haryāna),28.18,76.62,Haryāna
Hazāribāgh (Jhārkhand),23.98,85.35,Jhārkhand
Bhīmavaram (Andhra Pradesh),16.543,81.523,Andhra Pradesh
Mandsaur (Madhya Pradesh),24.072,75.069,Madhya Pradesh
